id,name,posterURL,actors,genre,ratings,releaseYear,tmdb_id
34,Goosebumps,https://image.tmdb.org/t/p/w500/aeZT9pqEgrmXOGdESFkAuVjX6kw.jpg,Jack Black|Dylan Minnette|Odeya Rush|Amy Ryan|Jillian Bell,Adventure|Horror|Comedy,6.2,2015,257445
35,Room,https://image.tmdb.org/t/p/w500/dIxoYFcj6EqD5KScuU8lWCftnvH.jpg,Brie Larson|Jacob Tremblay|Joan Allen|Sean Bridgers|William H. Macy,Drama|Thriller,8,2015,264644
36,Solace,https://image.tmdb.org/t/p/w500/pbcXpZgem8kgr90RwIUNAbC2ite.jpg,Abbie Cornish|Jeffrey Dean Morgan|Colin Farrell|Anthony Hopkins|Marley Shelton,Crime|Drama|Mystery,6.2,2015,339527
37,The Good Dinosaur,https://image.tmdb.org/t/p/w500/8RSkxOO80btfKjyiC5ZiTaCHIT8.jpg,Raymond Ochoa|Jack Bright|Jeffrey Wright|Frances McDormand|Maleah Nipay-Padilla,Adventure|Animation|Comedy|Family|Fantasy,6.6,2015,105864
38,Run All Night,https://image.tmdb.org/t/p/w500/frzdzHceByAIlwVKvSvY9zqpjyV.jpg,Liam Neeson|Ed Harris|Joel Kinnaman|Boyd Holbrook|Bruce McGill,Action|Crime|Drama|Mystery|Thriller,6.3,2015,241554
39,Brooklyn,https://image.tmdb.org/t/p/w500/wSYxJKMSpHCLz2zqrRJb9RhxGz6.jpg,Saoirse Ronan|Domhnall Gleeson|Emory Cohen|Emily Bett Rickards|Eileen O'Higgins,Drama|Romance,7.3,2015,167073
40,Straight Outta Compton,https://image.tmdb.org/t/p/w500/9B63hMwU6iICtNDTISCaZQ5US7R.jpg,O'Shea Jackson Jr.|Corey Hawkins|Jason Mitchell|Neil Brown Jr.|Aldis Hodge,Drama|Music,7.7,2015,277216
41,The Last Witch Hunter,https://image.tmdb.org/t/p/w500/qXvOpA2nhK5HQ6I95sN3nnMtfjH.jpg,Vin Diesel|Rose Leslie|Michael Caine|Elijah Wood|Ã“lafur Darri Ã“lafsson,Fantasy|Action|Adventure,5.6,2015,274854
42,Steve Jobs,https://image.tmdb.org/t/p/w500/d7a6v7LduguBKAnVrGHt9lFH3mQ.jpg,Michael Fassbender|Kate Winslet|Seth Rogen|Katherine Waterston|Jeff Daniels,History|Drama,6.9,2015,321697
43,The Man from U.N.C.L.E.,https://image.tmdb.org/t/p/w500/zkacOORjKJxRswDurffyvkMwriS.jpg,Henry Cavill|Armie Hammer|Alicia Vikander|Elizabeth Debicki|Luca Calvani,Comedy|Action|Adventure,7,2015,203801
44,The Age of Adaline,https://image.tmdb.org/t/p/w500/MbILysGhjAbnZi1Okae9wYqLMx.jpg,Blake Lively|Michiel Huisman|Harrison Ford|Ellen Burstyn|Kathy Baker,Fantasy|Drama|Romance,7.3,2015,293863
45,Hardcore Henry,https://image.tmdb.org/t/p/w500/ik1uZyiMSxF9HqrgRKUNfMCfr3z.jpg,Sharlto Copley|Haley Bennett|Danila Kozlovskiy|Tim Roth|Andrei Dementiev,Action|Adventure|Science Fiction,5.9,2015,325348
46,Home,https://image.tmdb.org/t/p/w500/ln7DqfqyKosTw1xoa92Q7FRT3Jh.jpg,Jim Parsons|Rihanna|Steve Martin|Jennifer Lopez|Matt Jones,Fantasy|Comedy|Animation|Science Fiction|Family,6.9,2015,228161
47,Paper Towns,https://image.tmdb.org/t/p/w500/eoF6wYVj1vbrCWjL0rBkdZpgrxS.jpg,Nat Wolff|Cara Delevingne|Halston Sage|Justice Smith|Austin Abrams,Drama|Mystery|Romance,6.2,2015,286565
48,Wild Card,https://image.tmdb.org/t/p/w500/zN80Tlly8oMpKbVJv2TfRIj8dHG.jpg,Jason Statham|Michael Angarano|Milo Ventimiglia|Dominik GarcÃ­a-Lorido|Anne Heche,Thriller|Crime|Drama,5.3,2015,265208
49,The Lobster,https://image.tmdb.org/t/p/w500/7Y9ILV1unpW9mLpGcqyGQU72LUy.jpg,Colin Farrell|Rachel Weisz|LÃ©a Seydoux|John C. Reilly|Ben Whishaw,Thriller|Comedy|Drama|Romance|Science Fiction,6.6,2015,254320
50,Carol,https://image.tmdb.org/t/p/w500/cJeled7EyPdur6TnCA5GYg0UVna.jpg,Cate Blanchett|Rooney Mara|Kyle Chandler|Sarah Paulson|Jake Lacy,Romance|Drama,7.1,2015,258480
51,The Intern,https://image.tmdb.org/t/p/w500/9UoAC9tu8kIyRy8AcJnGhnH0gOH.jpg,Robert De Niro|Anne Hathaway|Rene Russo|Anders Holm|JoJo Kushner,Comedy,7.1,2015,257211
52,Everest,https://image.tmdb.org/t/p/w500/4xmndWnTYTE4bDdlWrkZyaGcZlo.jpg,Jason Clarke|Jake Gyllenhaal|Josh Brolin|John Hawkes|Sam Worthington,Adventure|Drama,6.7,2015,253412
53,Joy,https://image.tmdb.org/t/p/w500/drHYguFkQO4nQQFUhRYqIbl45oT.jpg,Jennifer Lawrence|Bradley Cooper|Robert De Niro|Dascha Polanco|Edgar RamÃ­rez,Comedy|Drama,6.4,2015,274479
54,Point Break,https://image.tmdb.org/t/p/w500/z7JOvw5Lqs9ezoFTJxmz3nx3av2.jpg,Edgar RamÃ­rez|Luke Bracey|Teresa Palmer|Delroy Lindo|Ray Winstone,Action|Crime|Thriller,5.5,2015,257088
55,Burnt,https://image.tmdb.org/t/p/w500/ab4zZPuCqtDl5o71uYOAk37xGvK.jpg,Bradley Cooper|Sienna Miller|Lily James|Alicia Vikander|Uma Thurman,Drama,6.3,2015,295964
56,Self/less,https://image.tmdb.org/t/p/w500/b03zZZTE17iH6klsInFOlrgfYRN.jpg,Ryan Reynolds|Ben Kingsley|Natalie Martinez|Matthew Goode|Michelle Dockery,Science Fiction|Mystery|Thriller,6.2,2015,238615
57,Mortdecai,https://image.tmdb.org/t/p/w500/j7eKGD0n1zRVfKMX6M1kpfavby7.jpg,Johnny Depp|Gwyneth Paltrow|Ewan McGregor|Paul Bettany|Olivia Munn,Comedy|Adventure,5.3,2015,210860
58,The Danish Girl,https://image.tmdb.org/t/p/w500/mXZZIacI5FC8thzSC0lgQBQ2uAX.jpg,Eddie Redmayne|Alicia Vikander|Matthias Schoenaerts|Amber Heard|Ben Whishaw,Drama,7.3,2015,306819
59,Blackhat,https://image.tmdb.org/t/p/w500/7zu6HPnKPjNA7NuR4DGRdaH0PdX.jpg,Chris Hemsworth|Leehom Wang|Tang Wei|Viola Davis|Holt McCallany,Mystery|Crime|Action|Thriller|Drama,5,2015,201088
60,Sicario,https://image.tmdb.org/t/p/w500/lz8vNyXeidqqOdJW9ZjnDAMb5Vr.jpg,Emily Blunt|Benicio del Toro|Josh Brolin|Victor Garber|Jon Bernthal,Action|Crime|Drama|Mystery|Thriller,7.1,2015,273481
61,Fantastic Four,https://image.tmdb.org/t/p/w500/oeMpEsjmiT9PEJbRM1Fm7TZ1dE0.jpg,Miles Teller|Kate Mara|Michael B. Jordan|Jamie Bell|Toby Kebbell,Action|Adventure|Science Fiction,4.4,2015,166424
62,The Witch,https://image.tmdb.org/t/p/w500/zap5hpFCWSvdWSuPGAQyjUv2wAC.jpg,Anya Taylor-Joy|Ralph Ineson|Kate Dickie|Harvey Scrimshaw|Ellie Grainger,Mystery|Horror,5.8,2015,310131
63,Spy,https://image.tmdb.org/t/p/w500/vPBmfMHxQvRRNGYD5S5ko2KnX56.jpg,Melissa McCarthy|Jason Statham|Rose Byrne|Miranda Hart|Bobby Cannavale,Action|Comedy|Crime,6.9,2015,238713
64,Focus,https://image.tmdb.org/t/p/w500/lOzGWjceYTd0kd5HyX7Ch46O9kh.jpg,Will Smith|Margot Robbie|Rodrigo Santoro|Robert Taylor|Gerald McRaney,Romance|Comedy|Crime|Drama,6.7,2015,256591
65,Hitman: Agent 47,https://image.tmdb.org/t/p/w500/52NXkgvzRYjRnqRPpqjpiwsIgRG.jpg,Rupert Friend|Zachary Quinto|Hannah Ware|Emilio Rivera|Rolf Kanies,Action|Crime|Thriller,5.5,2015,249070
66,In the Heart of the Sea,https://image.tmdb.org/t/p/w500/weVvNPfk6FM9vBg3BXtRtNAmiYM.jpg,Chris Hemsworth|Benjamin Walker|Cillian Murphy|Brendan Gleeson|Ben Whishaw,Thriller|Drama|Adventure|Action|History,6.4,2015,205775
67,Survivor,https://image.tmdb.org/t/p/w500/npyCpfYyYknFoY2iJPyfqp70FVX.jpg,Pierce Brosnan|Milla Jovovich|Dylan McDermott|Angela Bassett|Robert Forster,Crime|Thriller|Action,5.4,2015,334074
68,Creed,https://image.tmdb.org/t/p/w500/1BfTsk5VWuw8FCocAhCyqnRbEzq.jpg,Michael B. Jordan|Sylvester Stallone|Graham McTavish|Tessa Thompson|Phylicia RashÄd,Drama,7.3,2015,312221
69,Trainwreck,https://image.tmdb.org/t/p/w500/wrY629UTCUAKLJ4CxQXz6DCE7pr.jpg,Amy Schumer|Bill Hader|Brie Larson|Colin Quinn|Vanessa Bayer,Comedy,6.1,2015,271718
70,Eye in the Sky,https://image.tmdb.org/t/p/w500/faRGb9SuyGuZpsNRoIxoVSLLCId.jpg,Helen Mirren|Aaron Paul|Alan Rickman|Iain Glen|Barkhad Abdi,Drama|Thriller|War,7.2,2015,333352
71,Legend,https://image.tmdb.org/t/p/w500/4shf5Alq4KWCKqrAAQe0JGJHYp5.jpg,Tom Hardy|Emily Browning|Christopher Eccleston|David Thewlis|Taron Egerton,Crime|Thriller,6.7,2015,276907
72,Beyond the Reach,https://image.tmdb.org/t/p/w500/t6m6ICEG7KrnyYQpROISURkuCD5.jpg,Michael Douglas|Jeremy Irvine|Hanna Mangan Lawrence|Ronny Cox|Martin Palmer,Thriller,5.5,2015,284289
73,Pan,https://image.tmdb.org/t/p/w500/cjcrkPeQkrkEVYrd3lHWJbfBdrv.jpg,Levi Miller|Garrett Hedlund|Hugh Jackman|Rooney Mara|Amanda Seyfried,Adventure|Family|Fantasy,5.9,2015,266647
74,Mythica: The Darkspore,https://image.tmdb.org/t/p/w500/2Al0ncYtEh0frfCm52pALJGR7z8.jpg,Melanie Stone|Kevin Sorbo|Adam Johnson|Jake Stormoen|Rocky Myers,Action|Adventure|Fantasy,5.1,2015,347096
75,Me and Earl and the Dying Girl,https://image.tmdb.org/t/p/w500/eLjS2bLMjln2n2I73Xu6TaANPDZ.jpg,Thomas Mann|RJ Cyler|Olivia Cooke|Connie Britton|Nick Offerman,Comedy|Drama,7.7,2015,308369
76,The Peanuts Movie,https://image.tmdb.org/t/p/w500/dZOcwqxurYhDyjmdnhYcGnn1agL.jpg,Noah Schnapp|Bill Melendez|Venus Schultheis|Hadley Belle Miller|Madisyn Shipman,Adventure|Animation|Comedy|Family,6.4,2015,227973
77,Concussion,https://image.tmdb.org/t/p/w500/gseayWAIFt3GQrEUNuUcYxT77Ud.jpg,Will Smith|Bitsie Tulloch|Gugu Mbatha-Raw|Alec Baldwin|Matthew Willig,Drama,6.9,2015,321741
78,The Night Before,https://image.tmdb.org/t/p/w500/rfeNBaiMBg0UQsBQFv1qsjTjZWn.jpg,Joseph Gordon-Levitt|Seth Rogen|Anthony Mackie|Lizzy Caplan|Jillian Bell,Comedy,6.1,2015,296100
79,Knock Knock,https://image.tmdb.org/t/p/w500/cUC4rUb1Cs2KMaZ6RD4uYUEEwls.jpg,Keanu Reeves|Lorenza Izzo|Ana de Armas|Aaron Burns|Colleen Camp,Drama|Horror|Thriller,4.8,2015,263472
80,The Longest Ride,https://image.tmdb.org/t/p/w500/qdUVfvPBvT6cetDDM7rn8y2CNZE.jpg,Scott Eastwood|Britt Robertson|Lolita Davidovich|Melissa Benoist|Jack Huston,Romance|Drama,7.3,2015,228205
81,Hotel Transylvania 2,https://image.tmdb.org/t/p/w500/kKFgwQnR5q08UFsAvtoYyTIiHyj.jpg,Adam Sandler|Andy Samberg|Selena Gomez|Kevin James|Steve Buscemi,Animation|Comedy|Family,6.8,2015,159824
82,Love the Coopers,https://image.tmdb.org/t/p/w500/aHJhk1aWviX9RAbbljFyPO04yrt.jpg,Steve Martin|Diane Keaton|John Goodman|Alan Arkin|Olivia Wilde,Family|Comedy,5.3,2015,333348
83,The Walk,https://image.tmdb.org/t/p/w500/tiESRqurrZwAC0hpERogOsBhjeg.jpg,Joseph Gordon-Levitt|Ben Kingsley|Charlotte Le Bon|Ben Schwartz|James Badge Dale,Adventure|Drama|Thriller,6.8,2015,285783
84,Tracers,https://image.tmdb.org/t/p/w500/2XoazCkD4gRlqkJK7q6TOTUx1ta.jpg,Marie Avgeropoulos|Taylor Lautner|Adam Rayner|Rafi Gavron|Sam Medina,Action|Crime|Drama,5.9,2015,290764
85,Vacation,https://image.tmdb.org/t/p/w500/z79MzBerDAW2EOQZCobFTO4dJ7P.jpg,Ed Helms|Christina Applegate|Skyler Gisondo|Steele Stebbins|Chris Hemsworth,Adventure|Comedy,6.1,2015,296099
86,Poltergeist,https://image.tmdb.org/t/p/w500/A1ymtbzatZp94Z49ZOBb8JGXOBB.jpg,Sam Rockwell|Rosemarie DeWitt|Saxon Sharbino|Kyle Catlett|Kennedi Clements,Horror|Thriller,5,2015,243688
87,Maggie,https://image.tmdb.org/t/p/w500/twa9gXjocLM629sJrQYVtmF306R.jpg,Arnold Schwarzenegger|Abigail Breslin|Joely Richardson|Laura Cayouette|J.D. Evermore,Horror,5.1,2015,287424
88,Equals,https://image.tmdb.org/t/p/w500/vP1i0dddTbLL3pyddrSCPnJa8S7.jpg,Kristen Stewart|Nicholas Hoult|Guy Pearce|Jacki Weaver|Bel Powley,Drama|Romance|Science Fiction,5.6,2015,301875
89,Child 44,https://image.tmdb.org/t/p/w500/qqGhMt31HVUN3WnH0L2r0OWq38E.jpg,Tom Hardy|Gary Oldman|Noomi Rapace|Joel Kinnaman|Paddy Considine,Crime|Thriller,5.9,2015,181283
90,The Gift,https://image.tmdb.org/t/p/w500/kH3qLP8pn68Xq5XwvmPkCyaAU7W.jpg,Jason Bateman|Rebecca Hall|Joel Edgerton|David Denman|Beau Knapp,Thriller|Mystery,6.6,2015,328425
91,Daddy's Home,https://image.tmdb.org/t/p/w500/fB9lALk9zKsMYWvf0bJSkJN219Z.jpg,Will Ferrell|Mark Wahlberg|Linda Cardellini|Thomas Haden Church|Hannibal Buress,Comedy,5.7,2015,274167
92,Mythica: The Necromancer,https://image.tmdb.org/t/p/w500/vlAda6yYXQXXrzSUQC4Wl9QyFV4.jpg,Melanie Stone|Adam Johnson|Kevin Sorbo|Nicola Posener|Jake Stormoen,Fantasy|Action|Adventure,5.4,2015,370687
93,Vice,https://image.tmdb.org/t/p/w500/cBwZIq1QFasmsC9Wi3HvyEljfYN.jpg,Ambyr Childers|Thomas Jane|Bryan Greenberg|Bruce Willis|Johnathon Schaech,Thriller|Science Fiction|Action|Adventure,4.1,2015,307663
94,The Little Prince,https://image.tmdb.org/t/p/w500/je5Z7gbFTzrs3FPHINo9yGiHoVo.jpg,Jeff Bridges|Rachel McAdams|Paul Rudd|Marion Cotillard|James Franco,Adventure|Animation|Fantasy,7.5,2015,309809
95,Alvin and the Chipmunks: The Road Chip,https://image.tmdb.org/t/p/w500/aQhFoqby8UYq4uGQXOtV7P8JLBl.jpg,Jason Lee|Justin Long|Bella Thorne|Matthew Gray Gubler|Jesse McCartney,Adventure|Animation|Comedy|Family,5.7,2015,258509
96,The Dressmaker,https://image.tmdb.org/t/p/w500/3APZ6T1JqZnkPx012P9tos8BGAf.jpg,Kate Winslet|Liam Hemsworth|Caroline Goodall|Judy Davis|Hayley Magnus,Drama,6.9,2015,298382
97,The DUFF,https://image.tmdb.org/t/p/w500/aHzdMSKwq9ucnP2yXl5zYIfKgGl.jpg,Mae Whitman|Robbie Amell|Bella Thorne|Bianca A. Santos|Skyler Samuels,Romance|Comedy,6.8,2015,272693
98,Sinister 2,https://image.tmdb.org/t/p/w500/jLNUo05tEYaPMTmEoYTld8XYmOt.jpg,Shannyn Sossamon|James Ransone|Tate Ellington|Nicholas King|Lucas Jade Zumann,Horror,5.5,2015,283445
99,Paul Blart: Mall Cop 2,https://image.tmdb.org/t/p/w500/zgr98ZRQnmN8iWzJn1EelAGFaTs.jpg,Kevin James|Raini Rodriguez|Eduardo VerÃ¡stegui|Daniella Alonso|Neal McDonough,Action|Adventure|Comedy|Family,5.3,2015,256961
100,Frozen Fever,https://image.tmdb.org/t/p/w500/mPrDJ7puYzPLG5kPM96iNszF2sM.jpg,Kristen Bell|Idina Menzel|Jonathan Groff|Josh Gad|Chris Williams,Adventure|Animation|Family,7,2015,326359
101,High-Rise,https://image.tmdb.org/t/p/w500/tNBHTOdIoeT5PMnt4TJpTm1nohG.jpg,Tom Hiddleston|Sienna Miller|Jeremy Irons|Luke Evans|Elisabeth Moss,Action|Drama|Science Fiction,5.4,2015,254302
102,The Boy Next Door,https://image.tmdb.org/t/p/w500/tM0hpWw3GONam6TKcMMciecHjhT.jpg,Jennifer Lopez|Ryan Guzman|Ian Nelson|John Corbett|Kristin Chenoweth,Thriller,3.9,2015,241251
103,Spooks: The Greater Good,https://image.tmdb.org/t/p/w500/bpK63x3M7uFtoIetK5YniHXLE28.jpg,Peter Firth|Kit Harington|Jennifer Ehle|Lara Pulver|Elyes Gabel,Thriller|Action,5.6,2015,292040
104,Entourage,https://image.tmdb.org/t/p/w500/6Vl5t0d6g37Se20VjQ8EFdbb7dG.jpg,Jeremy Piven|Adrian Grenier|Jerry Ferrara|Kevin Connolly|Kevin Dillon,Comedy,6.2,2015,188222
105,The Wedding Ringer,https://image.tmdb.org/t/p/w500/nh9VKA4LEPKkoCljnDNHtSIhKbF.jpg,Kevin Hart|Josh Gad|Kaley Cuoco|Affion Crockett|Jorge Garcia,Comedy,6.5,2015,252838
